Whse,FY,Period,Week,Account_Number,Member_Number,Customer_ID,BD_Industry,Industry_Description,First_Name,Last_Name,Business_Name,Address_1,Address_2,City,State,Zip_Code,Phone,Email,Transaction_Count,Amount,Shop_Type
120,2025,4,3,8020544,11214480678,Whse#120Mbr#11214480678,FY2025P4Wk3,TC1,CAFE,Cafes & Bakeries,Andrea,Park,"Boyd, Sandoval and Sutton",417 Patricia Ramp,,Williamport,CA,45279,7744457165,twhite@example.net,5,186.94,Walk-in
120,2025,10,4,9265200,11612222926,Whse#120Mbr#11612222926,FY2025P10Wk4,TC2,CAFE,Cafes & Bakeries,Gloria,Andrews,Parker-Armstrong,315 Cooper Estates,Apt. 685,North Beth,CO,25834,249-268-7840,kelliphillips@example.net,1,401.63,Online
130,2026,4,3,1395793,11279950578,Whse#130Mbr#11279950578,FY2026P4Wk3,TC3,RETL,Retailers,Jennifer,Pierce,"Stephenson, Clark and Page",9706 Megan Walks,Suite 389,Cunninghammouth,WA,33282,(708)569-9800x023,dbaldwin@example.net,7,16.28,Phone Order
115,2025,9,4,7510256,11654220211,Whse#115Mbr#11654220211,FY2025P9Wk4,TC1,RETL,Retailers,David,Williams,Shannon PLC,83310 Patricia Extensions,,Jennifershire,NV,47055-9377,,bryantmichelle@example.net,5,420.19,Walk-in
115,2026,2,1,9418851,11296878309,Whse#115Mbr#11296878309,FY2026P2Wk1,TC2,REST,Restaurants,Andrea,Davidson,Goodwin-Cordova,908 Douglas Burg,,New Scott,OR,57347,(490)882-5446x124,zmoore@example.net,4,45.69,Walk-in
130,2025,4,1,7546120,11912120975,Whse#130Mbr#11912120975,FY2025P4Wk1,TC1,CSTR,Construction,Jared,Cantrell,Mills LLC,56409 Chapman View,Apt. 265,Riosmouth,TX,99456,281-259-3370x795,ralph57@example.net,9,347.81,Phone Order
120,2026,11,2,4453677,11320851487,Whse#120Mbr#11320851487,FY2026P11Wk2,TC3,GROC,Grocery Stores,Emily,Morris,Dean-Alexander,044 Tyler Mount,,Aprilstad,AZ,65437,001-837-575-1679x699,corey06@example.net,3,319.87,Walk-in
130,2025,4,1,1454329,11317497020,Whse#130Mbr#11317497020,FY2025P4Wk1,TC3,CAFE,Cafes & Bakeries,Dawn,Taylor,"Hill, Bradshaw and Weber",658 Castillo Orchard,Apt. 106,South Erinstad,OR,85891,449-844-9548x019,daniel69@example.com,7,225.01,Phone Order
120,2026,1,2,3678321,11635782446,Whse#120Mbr#11635782446,FY2026P1Wk2,TC3,REST,Restaurants,Robert,Dominguez,Moore Group,26230 Samantha River,Apt. 400,East Kellyberg,CO,52962,001-435-789-8632,andrewalexander@example.net,9,300.05,Online
120,2025,5,2,8234567,11234567890,Whse#120Mbr#11234567890,FY2025P5Wk2,TC1,CAFE,Cafes & Bakeries,Michael,Johnson,Sweet Treats Bakery,123 Main Street,,Los Angeles,CA,90001,323-555-0123,mjohnson@example.net,12,567.89,Walk-in
115,2025,6,3,9876543,11987654321,Whse#115Mbr#11987654321,FY2025P6Wk3,TC2,REST,Restaurants,Sarah,Williams,The Grill House,456 Oak Avenue,,San Francisco,CA,94102,415-555-0456,swilliams@example.net,8,892.45,Walk-in
130,2025,7,1,5432109,11543210987,Whse#130Mbr#11543210987,FY2025P7Wk1,TC1,GROC,Grocery Stores,James,Brown,Fresh Foods Market,789 Pine Road,,Seattle,WA,98101,206-555-0789,jbrown@example.net,15,1234.56,Phone Order
120,2025,8,4,2109876,11210987654,Whse#120Mbr#11210987654,FY2025P8Wk4,TC3,CSTR,Construction,Lisa,Davis,BuildRight Inc,321 Elm Street,,Denver,CO,80201,303-555-0321,ldavis@example.net,6,2345.67,Walk-in
115,2025,9,2,7654321,11765432109,Whse#115Mbr#11765432109,FY2025P9Wk2,TC2,RETL,Retailers,Kevin,Miller,Style Store,654 Maple Drive,,Portland,OR,97201,503-555-0654,kmiller@example.net,4,345.78,Online
130,2026,1,3,3210987,11321098765,Whse#130Mbr#11321098765,FY2026P1Wk3,TC1,CAFE,Cafes & Bakeries,Nancy,Wilson,Coffee Corner,987 Cedar Lane,,Phoenix,AZ,85001,602-555-0987,nwilson@example.net,10,456.78,Walk-in
120,2026,2,1,6543210,11654321098,Whse#120Mbr#11654321098,FY2026P2Wk1,TC2,REST,Restaurants,Thomas,Moore,Tasty Bites,147 Birch Street,,Las Vegas,NV,89101,702-555-0147,tmoore@example.net,7,678.90,Walk-in
115,2026,3,2,8765432,11876543210,Whse#115Mbr#11876543210,FY2026P3Wk2,TC3,GROC,Grocery Stores,Jennifer,Taylor,QuickMart,258 Walnut Ave,,Austin,TX,78701,512-555-0258,jtaylor@example.net,11,987.65,Phone Order
130,2026,4,1,4321098,11432109876,Whse#130Mbr#11432109876,FY2026P4Wk1,TC1,CSTR,Construction,Richard,Anderson,Premier Builders,369 Spruce Road,,Miami,FL,33101,305-555-0369,randerson@example.net,3,1567.89,Walk-in
120,2025,3,3,9012345,11901234567,Whse#120Mbr#11901234567,FY2025P3Wk3,TC2,RETL,Retailers,Patricia,Thomas,Fashion Forward,741 Oak Street,,Boston,MA,02101,617-555-0741,pthomas@example.net,9,432.10,Online
115,2025,4,4,5678901,11567890123,Whse#115Mbr#11567890123,FY2025P4Wk4,TC1,CAFE,Cafes & Bakeries,Charles,Jackson,Morning Brew,852 Pine Ave,,Chicago,IL,60601,312-555-0852,cjackson@example.net,14,765.43,Walk-in
